id;pagerank;betweenness
n33;0.09698041880501741;0.30407497594997596
n0;0.08850807396280012;0.43763528138528146
n32;0.07592643687005646;0.145247113997114
n2;0.06276686454603017;0.14365680615680618
n1;0.057414840497110056;0.053936688311688304
n31;0.04198548926127872;0.13827561327561325
n23;0.04114596964602211;0.017613636363636363
n3;0.03721208153631377;0.011909271284271283
n5;0.03381044255357727;0.02998737373737374
n13;0.033474187085322404;0.04586339586339586
n8;0.03338155566846444;0.05592682780182781
n6;0.03152901134345504;0.029987373737373736
n25;0.028672962013730707;0.0038404882154882154
n29;0.028271813832825125;0.0029220779220779218
n27;0.027235358397633882;0.02233345358345358
n7;0.026464618678806107;0.0
n30;0.02303184425091186;0.014411976911976909
n10;0.020689016083505596;0.0006313131313131313
n4;0.020503977347501652;0.0006313131313131313
n16;0.016755401561857987;0.0
n24;0.01663437445025268;0.0022095959595959595
n15;0.01637633262359366;0.0
n26;0.015240392773380823;0.0
n28;0.01447852177427162;0.0017947330447330447
n19;0.013077518431081969;0.03247504810004811
n22;0.01296059860686279;0.0
n14;0.012941600888556285;0.0
n12;0.011474872305945287;0.0
n21;0.01136015256356328;0.0
n20;0.011224235021037596;0.0
n11;0.009785686547904305;0.0
n17;0.009677265915396801;0.0
n18;0.009544864590131914;0.0
n9;0.009463219565799959;0.0008477633477633478
